 	Image A	Image B	ROI	Auto Threshold A	Auto Threshold B	Using Stack Histogram	Pearson's Coefficient	M1	M2	Threshold A	Threshold B	Thresholded M1	Thresholded M2	Random Pearson Costes 2D	Random Pearson Costes 2D pValueCorrelated	Random Pearson Costes 2D pValueAntiCorrelated	Area tot	Area A	Area B	Area Overlap	Timepoint
77	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11).tif T1	nucleus	Otsu	Otsu	TRUE	0.17	0.581	0.989	1610	6063	0.058	0.282	19.203	1	1.06E-162	243.347	19.718	4.51	1.26	1
78	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11).tif T1	combine	Otsu	Otsu	TRUE	0.165	0.692	0.991	2146	2892	0.128	0.436	5.573	1	1.62E-15	29.38	7.23	2.454	1.03	1
79	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.19	0.541	0.988	1036	7041	0.054	0.485	23.523	1	5.94E-243	214.011	26.556	3.082	1.341	1
80	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11).tif T1	nucleus	Otsu	Otsu	TRUE	0.085	0.645	0.972	1511	2356	0.033	0.188	10.712	1	3.82E-52	234.859	20.261	3.473	0.655	1
81	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11).tif T1	combine	Otsu	Otsu	TRUE	0.152	0.875	0.975	2683	3290	0.039	0.265	3.536	1	2.85E-07	10.508	1.801	0.245	0.061	1
82	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.049	0.618	0.972	1285	2356	0.023	0.183	6.52	1	1.48E-20	224.352	23.098	3.049	0.57	1
83	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13).tif T1	nucleus	Otsu	Otsu	TRUE	0.14	0.645	0.961	4035	1871	0.058	0.236	16.749	1	2.50E-124	251.142	21.678	5.022	1.21	1
84	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13).tif T1	combine	Otsu	Otsu	TRUE	0.069	0.741	0.958	5380	2609	0.054	0.276	1.6	0.988	0.012	26.857	5.426	1.016	0.299	1
85	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.128	0.619	0.962	3195	1497	0.058	0.236	17.352	1	2.78E-133	224.285	22.076	4.995	1.202	1
86	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_0(16).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_0(16).tif T1	nucleus	Otsu	Otsu	TRUE	0.035	0.579	0.94	1852	3475	0.002	0.224	5.432	1	7.80E-15	267.571	23.011	0.33	0.05	1
87	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_0(16).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_0(16).tif T1	combine	Otsu	Otsu	TRUE	0.059	0.764	0.941	2941	2303	0	0	1.154	0.949	0.051	8.693	1.475	0.027	0	1
88	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_0(16).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_0(16).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.029	0.566	0.94	1852	3549	0.002	0.236	4.513	1	8.73E-11	259.005	20.557	0.304	0.05	1
